objectid,file name,title,description,company names,creator,architect,drawn,traced,date,date is approximate,scale,subject,location built,location created,location,latitude,longitude,digital collection,finding aid,source,identifier,rights,rightsstatement,format original,type,digital format,language,display_template,object_location,image_small,image_thumb
craigmountain023,MG12_F18_p002.jpg,Section of saw mill,Section of saw mill for the Craig Mountain Lumber Company by Union Ironworks.,Union Iron Works; Craig Mountain Lumber Company,,A.H. Irving,A.H. Irving,H.C.B.,1909-11,,1/4 inch = 1 foot,blueprints; sawmills; sections; elevations; cross sections;,"Winchester, Idaho","Spokane, Washington",,47.6802164,-117.4035685,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F18_p002,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F18_p002.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F18_p002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F18_p002_th.jpg
craigmountain024,MG12_F18_p003.jpg,Side elevation of saw mill,Side elevation of saw mill blueprint for Craig Mountain Lumber Company by Union Iron Works.,Union Iron Works; Craig Mountain Lumber Company,,A.H. Irving,A.H. Irving,H.C.B.,1909-12,,1/4 inch = 1 foot,blueprints; sawmills; sections; elevations;,"Winchester, Idaho","Spokane, Washington",,47.6802164,-117.4035685,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F18_p003,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F18_p003.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F18_p003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F18_p003_th.jpg
craigmountain025,MG12_F19_p001.jpg,Sorter,Sorter blueprint for the Craig Mountain Lumber Company by Wash Huffman,Craig Mountain Lumber Company,,Wash Huffman,Wash Huffman,,1909-11-30,,1/4 inch = 1 foot,blueprints; conveyor belts; sorters; lumber mills; saw mills;,"Winchester, Idaho","Spokane, Washington",,47.6802164,-117.4035685,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F19_p001,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F19_p001.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F19_p001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F19_p001_th.jpg
craigmountain026,MG12_F20_p001.jpg,New heater [side elevation],"New heater blueprint for the Craig Mountain Lumber Company, Winchester, Idaho. ",Craig Mountain Lumber Company,,Geo. [George] M. Conway M.E.,Geo. M. Conway M.E.,,1911-02-18,,3/4 inch = 1 foot,blueprints; heaters; kilns; lumber curing; dryers;,"Winchester, Idaho ",,,,,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F20_p001,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F20_p001.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F20_p001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F20_p001_th.jpg
craigmountain027,MG12_F20_p002.jpg,"Scaffold details for 60'-0"" air cooler burner","Scaffold details for 60'-0"" Air Cooler Burner blueprint by Colby Steel and Engineering Company, Seattle, Washington.",Colby Steel and Engineering Company;,,Colby Steel and Engineering Co.,John M. Todd,John M. Todd,1919-12-16,,3/16 inch = 1 foot,blueprints; half sections; bill of materials; scaffolds; pilasters; quarter plans;,,"Seattle, Washington",,47.62331585,-122.3373126,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F20_p002,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F20_p002.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F20_p002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F20_p002_th.jpg
craigmountain028,MG12_F21_p001.jpg,"Valve operating mechanism for valves on 14"" [inch] steam feed","Valve operating mechanism for valves on 14"" [inch] steam feed. This mechanism uses steam power to actuate the log carriage; feeding the log into the saw blades and then retracting the carriage for recalibration.",D.J. Murray Manufacturing Company,,D.J. Murray MFG Co.,,,1908-09-18,,3/4 inch = 1 foot,blueprints; log carriages; steam feeds; saw mills;,,"Wausau, Wisconsin",,44.96008531,-89.64326541,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F21_p001,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F21_p001.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F21_p001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F21_p001_th.jpg
craigmountain029,MG12_F22_p001.jpg,Front and sectional view of 500 HP [horsepower] Geary water-tube boiler and vertical baffling,"Front and sectional view of 500 HP [horsepower] Geary water-tube boiler and vertical baffling blueprint, Oil City Boiler Works.",Oil City Boiler Works,,Oil City Boiler Works,J.O.C.,,1908-07-23,,3/4 inch = 1 foot,blueprints; boilers; power houses; steam plants; saw mills; sections; elevations;,,"Oil City, Pennsylvania",,41.43386295,-79.70590271,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F22_p001,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F22_p001.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F22_p001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F22_p001_th.jpg
craigmountain030,MG12_F22_p002.jpg,500 HP [horsepower] Geary water-tube boiler foundation plan,"500 HP [horsepower] Geary water-tube boiler foundation plan and vertical baffling blueprint, Oil City Boiler Works.",Oil City Boiler Works,,"Oil City Boiler Works. Oil City, PA.",J.O.C.,,1908-07-23,,1/2 inch = 1 foot,blueprints; boilers; power houses; steam plants; saw mills; foundation plans;,,"Oil City, Pennsylvania",,41.43386295,-79.70590271,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F22_p002,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F22_p002.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F22_p002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F22_p002_th.jpg
craigmountain031,MG12_F22_p003.jpg,500 HP [horsepower] Geary water-tube boiler side elevation,"500 HP [horsepower] Geary water-tube boiler side elevation and vertical baffling blueprint, Oil City Boiler Works.",Oil City Boiler Works,,Oil City Boiler Works,J.M.,,1908-07-23,,3/4 inch = 1 foot,blueprints; boilers; power houses; steam plants; saw mills;,,"Oil City, Pennsylvania",,41.43386295,-79.70590271,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F22_p003,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F22_p003.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F22_p003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F22_p003_th.jpg
craigmountain032,MG12_F23_p001.jpg,Resaw installation,"Resaw installation blueprint for the Craig Mountain Lumber Company, Winchester, Idaho.",Craig Mountain Lumber Company,,Wash. Huffman,Wash. Huffman,,1918-08,,1/4 inch = 1 foot,blueprints; resaw; elevations; machinery;,"Winchester, Idaho","Spokane, Washington",,47.6802164,-117.4035685,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F23_p001,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F23_p001.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F23_p001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F23_p001_th.jpg
craigmountain033,MG12_F23_p002.pdf,Machinery for resaw installation,"Specifications: machinery for resaw installation plans, Craig Mountain Lumber Company by Wash. Huffman.",Craig Mountain Lumber Company,Wash. Huffman,,,,1918-08,,,resaw; machinery; plans (reports),"Winchester, Idaho","Spokane, Washington",,47.6802164,-117.4035685,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F23_p002,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Specifications,text,application/pdf,eng,pdf,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F23_p002.pdf,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F23_p002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F23_p002_th.jpg
craigmountain034,MG12_F24_p001.jpg,"Class S, No. 25. single wood furnace ","Class S, No. 25. Single. Wood furnace blueprint for Craig Mountain Lumber Company. Winchester, Idaho.",The Babcock and Wilcox Company; Craig Mountain Lumber Company,,The Babcock and Wilcox Co.,R.C.,R.C.,1923-05-02,,1/2 inch = 1 foot,blueprints; furnaces; boilers; steam plants; saw mills; elevations; sections;,"Winchester, Idaho",New York,,41.09187417,-73.83913222,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F24-d,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F24_p001.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F24_p001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F24_p001_th.jpg
craigmountain035,MG12_F24_p002.jpg,"Class S, No. 25. battery, extension furnace","Class S, No. 25. Battery. Extension furnace blueprint for Craig Mountain Lumber Company, Winchester, Idaho.",The Babcock and Wilcox Company; Craig Mountain Lumber Company,,The Babcock and Wilcox Co.,E.S.,,1923-05-03,,1/2 inch = 1 foot,blueprints; furnaces; boilers; steam plants; saw mills; elevations; sections;,"Winchester, Idaho",New York,,41.09187417,-73.83913222,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F24-c,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F24_p002.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F24_p002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F24_p002_th.jpg
craigmountain036,MG12_F24_p003.jpg,Proposed change at sorter,"Proposed change at sorter blueprint for Craig Mountain Lumber Company, Winchester, Idaho.",Craig Mountain Lumber Company,,F.W. Horskotte,F.W. Horskotte,,1919-04-15,,1/4 inch = 1 foot,blueprints; conveyor belts; sorters; lumber mills; saw mills;,"Winchester, Idaho","Spokane, Washington ",,47.6802164,-117.4035685,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F24-e,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F24_p003.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F24_p003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F24_p003_th.jpg
craigmountain037,MG12_F24a_p001.jpg,Machinery elevations and hog installation,"Machinery elevations and hog installation for the Craig Mountain Lumber Company, Winchester, Idaho. This mechanism is the ramp which guides log extraction from the storage pond. A log is aligned with the ramp and is pulled upwards toward rolling platform and sawyers carriage via a conveyor chain or belt.",Craig Mountain Lumber Company,,F.W. Horskotte,F.W. Horskotte,,1929-09-19,,1/4 inch = 1 foot,blueprints; installations; hog; elevations; conveyors; sawmills; log pongs; ramps;,"Winchester, Idaho","Portland, Oregon",,45.55416904,-122.613209,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F24-a,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F24a_p001.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F24a_p001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F24a_p001_th.jpg
craigmountain038,MG12_F24a_p002.jpg,Trimmer feed and lumber return sawmill,"Trimmer feed and lumber return sawmill blueprint for the Craig Mountain Lumber Company, Winchester, Idaho. This mechanism feeds logs into the trimmer, which cuts the log to rough dimensions to remove bark and debris before moving to the sawyer's carriage for further processing.",Craig Mountain Lumber Company,,F.W. Horskotte,F.W. Horskotte,,,,,blueprints; sawmills; trimmers; feeds; returns; elevations;,"Winchester, Idaho","Portland, Oregon",,45.55416904,-122.613209,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F24a-b,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F24a_p002.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F24a_p002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F24a_p002_th.jpg
craigmountain039,MG12_F24a_p003.jpg,Arrangement of fan & saw mill blow pipe line and elevation of blow pipe line,Arrangement of fan & saw mill blow pipe line and elevation of blow pipe line blueprint.,J. Neils Lumber Company; H.J. Burns Company,,J. Neils Lumber Company; H.J. Burns Company,H.J. Burns Co.,,1929-07,,1/4 inch = 1 foot; 1/8 inch = 1 foot,blueprints; blow pipe; exhaust; ventilation systems; elevations; arrangements;,"Klickitat, Washington","Spokane, Washington",,47.6802164,-117.4035685,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F24a_p003,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F24a_p003.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F24a_p003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F24a_p003_th.jpg
craigmountain040,MG12_F24a_p004.jpg,National 1 1/2 inch single bolt cutter,National 1 1/2 inch single bolt cutter diagram with names of the parts: 1.) Bed; 2.) Door; 3.) Doorknob; 4.) Door hasp; 5.) Door Hinge; 6.) Oil Pan; 7.) Latch for Oil Pan; 8.)Chip Pan; 9.) Headstock; 10.) Headstock Cap; 11.) Head Spindle; 12.) Main Gear; 13.) Main Gear Guard; 14.) Nipple for Headstock Cap; 15.)Air Chamber; 16.)Swivel Cock; 17.) Swing Ring Bracket; 18.) Pin in Upper End of Swingring; 19.) Swingring; 20.) Cap Screws in Swingring; 21.) Finger pieces; 22.) Automatic Bracket; 23.) Automatic Shafts; 24.)Automatic Hand Lever; 25.) Handle for Automatic Hand Lever; 26.) Swivel Blocks Complete; 27.) Pin in bottom of Swing; 28.) Automatic Link; 29.)Tripping blocks: Complete; 30.) Tripping Rod; 31.)Shoulder Screw in Carriage for Tripping Rod; 32.) Carriage; 33.) Racks; 34.) Rack Pinions; 35.) Rack Shaft; 36.) Large Star Wheel on Rack Shaft; 37.) Small Star Wheel on Vise Screw; 38.) Star Wheel on Vise Screw.,,,H.E.,H.E.,A.J.C.,1930-04-30,,,schematics; parts lists; cutters; machinery; bolts;,,,,,,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F24a_p004,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F24a_p004.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F24a_p004_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F24a_p004_th.jpg
craigmountain041,MG12_F24a_p005.jpg,National [1 1/2] inch single bolt cutter,A cross-section diagram of the machine detailed in MG12_F24a_p004 with a continuation of the list of parts. Names of Parts Continued: 39.) Pump Chamber; 40.) Pump Gland Nut; 41.) Pump Plunger; 42.) Pin fo Pump Plunger; 43.) Crank Connection; 44.) Crank Washer; 45.) Crank Disc; 46.) Crank Thimble; 47.) Crank Thimble Bolt; 48.) Bush in Cane Spindle; 49.) Pump Shaft; 50.) Cane Spindle; 51.) Pinion Sleeve; 52.) Flange for Collar Pump; 53.) Cone; 54.) Automatic Crank; 55.) Pin in Automatic Crank; 56.) Spring Rod; 57.) Automatic Spring; 58.) Stop for Automatic Crank; 59.) Relief Valve; 60.) Check Valves; 61.) Lefthand Jaw; 62.) Righthand Jaw; 63.) Jaw Steels; 64.) Screws for Jaw Steels; 65.) Vise Bracket; 66.) Locking Screw for Scroll Bush. [bushing]; 67.) Washer on Jaw Screw; 68.) Scroll bush. [bushing]; 69.) Collar on Vise Screw; 70.) Carriage gibs.; 71.) Vise Jaw Screws;,,,H.E.,H.E.,A.J.C.,1930-04-30,,,schematics; parts lists; cutters; machinery; bolts;,,,,,,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F24a_p005,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F24a_p005.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F24a_p005_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F24a_p005_th.jpg
craigmountain042,MG12_F24a_p006.jpg,National [1 1/2] inch single bolt cutter die head,A schematic of parts for the die head assembly of the national [1 1/2] inch Single Bolt Cutter including a continuation of the list of parts. Names of Parts Continued: 201.) Barrel; 202.) Clutch Ring; 203.) Die Ring; 204.) Face Plate; 205.) Lock Levers; 206.) Pins for Lock Levers; 207.) Spline Screws; 208.) Spline Screw Springs; 209.) Nuts for Spline Screws; 210.) Face Plate Screws; 211.) Set Screws for Adjusting Screws; 212.) Adjusting Screws.,,,,H.E.,A.J.C.,1930-04-30,,,schematics; parts lists; cutters; machinery; bolts; dies;,,,,,,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F24a_p006,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F24a_p006.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F24a_p006_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F24a_p006_th.jpg
