objectid,filename,title,creator,donor,date,archival date,description,subject,location,latitude,longitude,source,identifier,type,format original,format,finding aid,digital collection,contributing institution,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
stockcerts0440,5-032.jpg,Sunrise Silver Mining Co. [2],,"Bennet, Earl H.",1920-05-21,1920-05-21,Kelsey Robert Jones was the owner of one thousand shares.,mining; stock certificates; shares; silver (metal),"Osburn, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-032,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-032.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-032_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-032_th.jpg
stockcerts0441,5-033.jpg,Ohadi Mines Corporation,,"Bennet, Earl H.",,,Blank shares certificate.,mining; stock certificates; shares,Idaho,,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-033,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-033.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-033_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-033_th.jpg
stockcerts0442,5-034.jpg,Columbia Gold Silver Mining Company of Idaho [2],,"Bennet, Earl H.",1866-11-14,1866-11-14,John Gudon (?) was the owner of one thousand shares.,mining; stock certificates; shares; gold (metal),New York,,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-034,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-034.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-034_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-034_th.jpg
stockcerts0444,5-036.jpg,Cincinnati Mining Co.,,"Bennet, Earl H.",,,Blank shares certificate.,mining; stock certificates; shares,"Wallace, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-036,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-036.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-036_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-036_th.jpg
stockcerts0445,5-037.jpg,Saw-Tooth Milling and Mining Co.,,"Bennet, Earl H.",1885-04-01,1885-04-01,Douglas Mining Co. Ltd. was the owner of one thousand shares. Limited.,mining; stock certificates; shares; milling (metalworking),New York,,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-037,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-037.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-037_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-037_th.jpg
stockcerts0446,5-038.jpg,"Pacific Mining Co., Ltd.",,"Bennet, Earl H.",1870-07-11,1870-07-11,Peter Matson was the owner of one share.,mining; stock certificates; shares,,,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-038,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-038.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-038_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-038_th.jpg
stockcerts0448,5-040.jpg,Caledonia Silver-Lead Mining Company [1],,"Bennet, Earl H.",1987-10-16,1987-10-16,Edward D. Jones & Co. was the owner of two thousand shares.,mining; stock certificates; shares; silver (metal); lead (metal),"Wallace, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-040,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-040.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-040_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-040_th.jpg
stockcerts0449,5-041.jpg,Utah-Idaho Consolidated Uranium Co.,,"Bennet, Earl H.",1956-10-05,1956-10-05,Omer R. Etter was the owner of one thousand shares. This was marked as cancelled.,mining; stock certificates; shares; uranium,"Kellogg, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-041,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-041.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-041_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-041_th.jpg
stockcerts0451,5-043.jpg,"Silver Beaver Mining Co., Inc. [2]",,"Bennet, Earl H.",1995-05-11,1995-05-11,Silver Peak Mining Company was the owner of ten thousand shares. This was marked as cancelled.,mining; stock certificates; shares,"Wallace, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-043,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-043.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-043_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-043_th.jpg
stockcerts0452,5-044.jpg,"Empire Gold Mines, Inc. [2]",,"Bennet, Earl H.",1970-07-27,1970-07-27,Bill Arthur was the owner of three hundred shares.,mining; stock certificates; shares; gold (metal),"Wallace, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-044,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-044.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-044_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-044_th.jpg
stockcerts0453,5-045.jpg,Silver Strand Mining Co. [1],,"Bennet, Earl H.",1969-11-10,1969-11-10,Alfred Vanderpoel was the owner of one thousand shares. This was marked as cancelled.,mining; stock certificates; shares; silver (metal),"Kellogg, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-045,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-045.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-045_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-045_th.jpg
stockcerts0456,5-048.jpg,Mineral Mountain Mining & Milling Co. [1],,"Bennet, Earl H.",1969-02-28,1969-02-28,Francis I. Du Pont & Co. was the owner of one hundred shares.,mining; stock certificates; shares; milling (metalworking),"Kellogg, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-048,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-048.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-048_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-048_th.jpg
stockcerts0458,5-050.jpg,Silver Strand Mining Co. [2],,"Bennet, Earl H.",,,Blank shares certificate.,mining; stock certificates; shares; silver (metal),"Kellogg, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-050,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-050.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-050_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-050_th.jpg
stockcerts0459,5-051.jpg,"Idora Silver Mines, Inc. [1]",,"Bennet, Earl H.",1976-03-24,1976-03-24,Bina & Co. was the owner of twelve thousand one hundred sixty-three shares. Transferred.,mining; stock certificates; shares; silver (metal),Idaho,,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-051,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-051.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-051_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-051_th.jpg
stockcerts0460,5-052.jpg,"Gold Resources, Inc. [2]",,"Bennet, Earl H.",1987-04-22,1987-04-22,Securities Settlement Corporation was the owner of nineteen thousand shares.,mining; stock certificates; shares; gold (metal),Idaho,,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-052,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-052.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-052_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-052_th.jpg
stockcerts0462,5-054.jpg,Lucky Friday Extension Mining Co. [1],,"Bennet, Earl H.",1996-04-08,1996-04-08,Cede & Co. was the owner of five thousand shares. This was marked as cancelled.,mining; stock certificates; shares,"Wallace, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-054,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-054.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-054_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-054_th.jpg
stockcerts0463,5-055.jpg,Lucky Friday Extension Mining Co. [2],,"Bennet, Earl H.",195710-29,195710-29,William Kellinger was the owner of ten thousand shares. This was marked as cancelled.,mining; stock certificates; shares,"Wallace, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-055,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-055.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-055_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-055_th.jpg
stockcerts0466,5-058.jpg,Liberty Consolidated Mining & Transportation Co. [2],,"Bennet, Earl H.",1906-03-05,1906-03-05,R. Smith Gladding was the owner of ninety four and one-fourth shares.,mining; stock certificates; shares; transportation,Arizona,,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-058,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-058.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-058_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-058_th.jpg
stockcerts0467,5-059.jpg,"Watters Tunnel and Mining Co., Ltd.",,"Bennet, Earl H.",1910-06-27,1910-06-27,Arthur Moulding was the owner of fifty shares.,mining; stock certificates; shares,Idaho,,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-059,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-059.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-059_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-059_th.jpg
stockcerts0468,5-060.jpg,Rose of Killarney Mining Co.,,"Bennet, Earl H.",1906-10-20,1906-10-20,Charles Bell was the owner of four thousand one hundred sixty-six shares. Limited.,mining; stock certificates; shares,"Priest River, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-060,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-060.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-060_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-060_th.jpg
stockcerts0469,5-061.jpg,"LeRoy Gold and Copper Mining Co., Ltd.",,"Bennet, Earl H.",1907-04-23,1907-04-23,Chas Collinger was the owner of five thousand shares.,mining; stock certificates; shares; gold (metal); copper (metal),"Wallace, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-061,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-061.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-061_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-061_th.jpg
stockcerts0470,5-062.jpg,"Silver Crown Mining Co., Ltd.",,"Bennet, Earl H.",,,Blank shares certificate.,mining; stock certificates; shares,"Spokane, Washington",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-062,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-062.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-062_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-062_th.jpg
stockcerts0471,5-063.jpg,Northern Light Gold Mining and Milling Co.,,"Bennet, Earl H.",1900-01-29,1900-01-29,C. M. Casady was the owner of two hundred shares.,mining; stock certificates; shares; gold (metal); milling (metalworking),"Sumpter, Oregon",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-063,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-063.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-063_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-063_th.jpg
stockcerts0474,5-066.jpg,McKinley Gold Mines Company [1],,"Bennet, Earl H.",1907-12-14,1907-12-14,Eugene Loodene (?) was the owner of two hundred shares.,mining; stock certificates; shares; gold (metal),"Kansas City, Missouri",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-066,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-066.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-066_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-066_th.jpg
stockcerts0475,5-067.jpg,"Golden Age Mining Co., Ltd",,"Bennet, Earl H.",1911-05-01,1911-05-01,C. A. Stumpf (?) was the owner of sixteen shares.,mining; stock certificates; shares,"Spokane, Washington",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-067,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-067.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-067_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-067_th.jpg
stockcerts0476,5-068.jpg,The Friday Gold Mining Co. [2],,"Bennet, Earl H.",1904-09-07,1904-09-07,Miss. Flora Lee was the owner of two hundred shares. Limited.,mining; stock certificates; shares; gold (metal),"Sumpter, Oregon",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-068,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-068.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-068_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-068_th.jpg
stockcerts0477,5-069.jpg,International Mining & Development Co.,,"Bennet, Earl H.",1896-03-30,1896-03-30,W. M. Cowell was the owner of one hundred shares.,mining; stock certificates; shares,"Portland, Oregon",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-069,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-069.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-069_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-069_th.jpg
stockcerts0479,5-071.jpg,Fall Creek Placer Mining and Leasing Co.,,"Bennet, Earl H.",,,Blank shares certificate.,mining; stock certificates; shares,"Colorado Springs, Colorado",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",5-071,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/5-071.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/5-071_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/5-071_th.jpg
