objectid,title,creator,date,archival date,description,fiddler_name,championship_dates,subject,location,latitude,longitude,identifier,filename,source,type,format original,format,finding aid,digital collection,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
fiddlers027,James Widner [2],National Oldtime Fiddle Contest and Festival Organization,1967-06,June 1957; June 1959; June 1963; June 1967,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 1957, 1959, 1961, 1963, and 1967.",James Widner,1957-06; 1959-06; 1961-06; 1963-06; 1967-06,champion; winner; contest; music,"Weiser, Idaho",,,"4lloydwanzer,grandchampion,,57,59,61,63,67",fiddlers027.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers027.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers027_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers027_th.jpg
fiddlers028,Bill Yohey,National Oldtime Fiddle Contest and Festival Organization,1962-06,June 1962,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 1962",Bill Yohey,,champion; winner; contest; music,"Weiser, Idaho",,,5billyoheygrandnat62,fiddlers028.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers028.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers028_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers028_th.jpg
fiddlers029,Cleo Persinger,National Oldtime Fiddle Contest and Festival Organization,1964-06,June 1964,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 1964",Cleo Persinger,,champion; winner; contest; music,"Weiser, Idaho",,,6cleopersinger64grandnat,fiddlers029.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers029.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers029_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers029_th.jpg
fiddlers030,Byron Berline,National Oldtime Fiddle Contest and Festival Organization,1970-06,June 1970,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 1965 and 1970",Byron Berline,1965-06; 1970-06,champion; winner; contest; music,"Weiser, Idaho",,,"7byronberlinegrandnat,65,70",fiddlers030.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers030.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers030_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers030_th.jpg
fiddlers031,Cyril Stinnett,National Oldtime Fiddle Contest and Festival Organization,1966-06,June 1966,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 1966",Cyril Stinnett,,champion; winner; contest; music,"Weiser, Idaho",,,8cyrilstinnettgrandnat66,fiddlers031.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers031.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers031_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers031_th.jpg
fiddlers032,Herman Johnson,National Oldtime Fiddle Contest and Festival Organization,1978-06,June 1969; June 1973; June 1977; June 1978,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 1969, 1973, 1977, and 1978",Herman Johnson,1969-06; 1973-06; 1977-06; 1978-06,champion; winner; contest; music,"Weiser, Idaho",,,"9hermanjohnsongrandnat68,69,73,77,78",fiddlers032.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers032.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers032_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers032_th.jpg
fiddlers033,Dick Barrett,National Oldtime Fiddle Contest and Festival Organization,1976-06,June 1971; June 1972; June 1975; June 1976,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 1971, 1972, 1975, and 1976",Dick Barrett,1971-06; 1972-06; 1975-06; 1976-06,champion; winner; contest; music,"Weiser, Idaho",,,"10dickbarrettgrandnat71,72,75,76",fiddlers033.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers033.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers033_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers033_th.jpg
fiddlers034,Benny Thomasson,National Oldtime Fiddle Contest and Festival Organization,1974-06,June 1974,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 1974",Benny Thomasson,,champion; winner; contest; music,"Weiser, Idaho",,,"11bennythomasson,grandnat74",fiddlers034.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers034.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers034_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers034_th.jpg
fiddlers035,Mark O'Connor,National Oldtime Fiddle Contest and Festival Organization,1984-06,June 1979; June 1980; June 1981; June 1984,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 1979, 1980, 1981, and 1984",Mark O'Connor,1979-06; 1980-06; 1981-06; 1984-06,champion; winner; contest; music,"Weiser, Idaho",,,"12marko'connorgrandnat.79,80,81,84",fiddlers035.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers035.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers035_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers035_th.jpg
fiddlers036,John Francis.,National Oldtime Fiddle Contest and Festival Organization,1982-06,June 1982,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 1982",John Francis,,champion; winner; contest; music,"Weiser, Idaho",,,13johnfrancisgrandnat82,fiddlers036.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers036.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers036_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers036_th.jpg
fiddlers037,Tony Ludiker,National Oldtime Fiddle Contest and Festival Organization,1994-06,June 1983; June 1989; June 1991; June 1993; June 1994,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 1983, 1989, 1991, 1993, and 1994",Tony Ludiker,1983-06; 1989-06; 1991-06; 1993-06; 1994-06,champion; winner; contest; music,"Weiser, Idaho",,,"14tonyludiker,grandnat83,89,91,93,94",fiddlers037.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers037.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers037_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers037_th.jpg
fiddlers038,Dale Morris,National Oldtime Fiddle Contest and Festival Organization,1985-06,June 1985,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 1985",Dale Morris,,champion; winner; contest; music,"Weiser, Idaho",,,"15dalemorris,grandnat85",fiddlers038.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers038.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers038_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers038_th.jpg
fiddlers039,Randy Pollard,National Oldtime Fiddle Contest and Festival Organization,1986-06,June 1986,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 1986",Randy Pollard,,champion; winner; contest; music,"Weiser, Idaho",,,16randypollardgrandnat86,fiddlers039.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers039.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers039_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers039_th.jpg
fiddlers040,Jimmie Don Bates,National Oldtime Fiddle Contest and Festival Organization,1997-06,June 1987; June 1997,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 1987 and 1997",Jimmie Don Bates,1987-06; 1997-06,champion; winner; contest; music,"Weiser, Idaho",,,"17jimmiedonbatesgrandnat87,97",fiddlers040.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers040.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers040_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers040_th.jpg
fiddlers041,Matthew Hartz,National Oldtime Fiddle Contest and Festival Organization,1992-06,June 1988; June 1992,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 1988 and 1992",Matthew Hartz,1988-06; 1992-06,champion; winner; contest; music,"Weiser, Idaho",,,"18matthewhartzgrandnat88,92",fiddlers041.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers041.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers041_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers041_th.jpg
fiddlers042,Rudi Booher,National Oldtime Fiddle Contest and Festival Organization,1990-06,June 1990,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 1990",Rudi Booher,,champion; winner; contest; music,"Weiser, Idaho",,,19rudiboohergrandnat90,fiddlers042.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers042.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers042_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers042_th.jpg
fiddlers043,Colt Tipton,National Oldtime Fiddle Contest and Festival Organization,1995-06,June 1995,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 1995",Colt Tipton,,champion; winner; contest; music,"Weiser, Idaho",,,20colttiptongrandnat95,fiddlers043.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers043.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers043_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers043_th.jpg
fiddlers044,Luke Bulla,National Oldtime Fiddle Contest and Festival Organization,1996-06,June 1996,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 1996",Luke Bulla,,champion; winner; contest; music,"Weiser, Idaho",,,"21lukebulla,grandnat96",fiddlers044.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers044.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers044_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers044_th.jpg
fiddlers045,Danita Rast,National Oldtime Fiddle Contest and Festival Organization,2001-06,June 1998; June 2000; June 2001,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 1998, 2000, and 2001",Danita Rast,1998-06; 2000-06; 2001-06,champion; winner; contest; music,"Weiser, Idaho",,,"22danitarast,grandnat98,2000,2001",fiddlers045.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers045.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers045_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers045_th.jpg
fiddlers046,Shane Cook,National Oldtime Fiddle Contest and Festival Organization,1999-06,June 1999,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 1999",Shane Cook,,champion; winner; contest; music,"Weiser, Idaho",,,23shanecookgrandnat99,fiddlers046.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers046.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers046_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers046_th.jpg
fiddlers047,Tristan Clarridge,National Oldtime Fiddle Contest and Festival Organization,2008-06,June 2002; June 2003; June 2004; June 2006; June 2008,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 2002, 2003, 2004, 2006, and 2008 ",Tristan Clarridge,2002-06; 2003-06; 2004-06; 2006-06; 2008-06,champion; winner; contest; music,"Weiser, Idaho",,,"24tristanclarridgegrandnat2002,2003,2004,2006,2008",fiddlers047.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers047.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers047_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers047_th.jpg
fiddlers049,Alex Hargreaves,National Oldtime Fiddle Contest and Festival Organization,2007-06,June 2007,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 2007",Alex Hargreaves,,champion; winner; contest; music,"Weiser, Idaho",,,26alexhargreavesgrandnat2007,fiddlers049.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers049.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers049_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers049_th.jpg
fiddlers051,Kimber Ludiker,National Oldtime Fiddle Contest and Festival Organization,2019-06,June 2011; June 2013; June 2016; June 2018; June 2019,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 2011, 2013, 2016, 2018, and 2019",Kimber Ludiker,2011-06; 2013-06; 2016-06; 2018-06; 2019-06,champion; winner; contest; music,"Weiser, Idaho",,,"28katrinanicolayeff,grandnat,2011,2013,2016,2018,2019",fiddlers051.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers051.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers051_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers051_th.jpg
fiddlers052,Mia Orosco,National Oldtime Fiddle Contest and Festival Organization,2012-06,June 2012,"Youngest girl winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 2012",Mia Orosco,,champion; winner; contest; music,"Weiser, Idaho",,,29miaoroscograndnat2012,fiddlers052.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers052.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers052_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers052_th.jpg
fiddlers053,Luke Price,National Oldtime Fiddle Contest and Festival Organization,2023-06,June 2014; June 2015; June 2017; June 2022; June 2023,"Winner of the most important division of the Oldtime Fiddler Contest, Grand National Division in 2014, 2015, 2017, 2022, and 2023",Luke Price,2014-06; 2015-06; 2017-06; 2022-06; 2023-06,champion; winner; contest; music,"Weiser, Idaho",,,"30lukepricegrandnat2014,2015,2017,2022,2023",fiddlers053.jpg,"Photo by Daniel Olortegui, June 2023",Image;StillImage,image,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/fiddlers/fiddlers053.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/small/fiddlers053_sm.jpg,https://www.lib.uidaho.edu/digital/objects/fiddlers/thumbs/fiddlers053_th.jpg
